Monster		Members	Combat level	Hitpoints	Attack level	Defence level	Magic level	Ranged level	Stab defence	Slash defence	Crush defence	Magic defence	Light Ranged defence	Standard Ranged defence	Heavy Ranged defence
Evil Creature - Izzie	Evil Creature Izzie	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Target - Fallen	Target Fallen	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Spider - Underground Pass	Spider Underground Pass	Members	1	2	1	1	1	1	-53	-53	-53	-53	-53	-53	-53
Spider - Common	Spider Common	Free-to-play	1	2	1	1	1	1	-53	-53	-53	-53	-53	-53	-53
Duckling	Duckling	Free-to-play	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Halla (Miscellania)	Halla (Miscellania)	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Target - Standing	Target Standing	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Chicken - Falador Farm	Chicken Falador Farm	Free-to-play	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Undead chicken	Undead chicken	Members	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Spider (Ape Atoll)	Spider (Ape Atoll)	Members	1	2	1	1	1	1	0	1	0	1	0	0	0
Einar	Einar	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Chicken - Miscellania	Chicken Miscellania	Members	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Evil Creature - Standard	Evil Creature Standard	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Ragnar (Miscellania)	Ragnar (Miscellania)	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Chicken - Normal	Chicken Normal	Free-to-play	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Chinchompa (Hunter)	Chinchompa (Hunter)	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Rabbit - Enchanted Valley	Rabbit Enchanted Valley	Free-to-play	1	1	1	1	1	1	0	0	0	0	0	0	0
Duck - Male	Duck Male	Free-to-play	1	3	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Thorhild	Thorhild	Members	1	1	1	1	1	1	0	0	0	0	0	0	0
Gnome child - Blue	Gnome child Blue	Members	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
Gnome child - Green	Gnome child Green	Members	1	2	1	1	1	1	-42	-42	-42	-42	-42	-42	-42
